Designator,Mid X,Mid Y,Rotation,Layer
GYRO1,31.81,-20.0,90.0,top
J1,37.14,-49.18,0.0,top
J2,60.0,-49.18,0.0,top
J3,29.64,-49.18,0.0,top
J4,67.5,-49.18,0.0,top
J5,22.0,-54.77,0.0,top
J6,50.77,-20.0,90.0,top
J7,48.23,-78.5,270.0,top
J8,60.5,-78.5,270.0,top
J9,21.5,-69.23,180.0,top
LIDAR1,23.0,-78.0,270.0,top
PSU1,33.73,-80.85,0.0,top
